code,count
J18.900,59668
J18.000,52948
A16.904,47444
P95.000,45673
I51.900,45510
R99.001,44444
G03.900,34997
I64.001,31838
J40.009,28780
R56.800,27615
A16.200,26298
P96.904,23102
A16.903,22362
R54.005,22347
I51.500,21813
C16.901,19765
R64.003,19456
R54.001,19188
I46.900,15897
A16.905,15513
N05.901,15312
A09.940,14740
A16.901,14000
A17.000,13994
B05.900,13248
A09.008,12517
J21.901,12153
I61.902,11897
J05.000,11170
P96.901,10834
A37.900,10720
P07.300,9783
A09.004,9726
G04.900,9301
I70.900,8995
A09.009,8704
A36.900,8645
J18.100,8406
I61.900,8342
R56.802,8106
K65.900,8094
C55.001,8082
J20.900,7831
A09.920,7566
R96.000,7513
A75.900,7369
N19.002,7298
J42.000,7259
W74.000,6956
J11.100,6834
